"chemostat","time","prev0","logit_g","logit_prev"
"chem_epidemic_3",41,1,-0.299065701816338,3.84742969840182
"chem_epidemic_3",42,1,-0.311379158597994,3.90042748035307
"chem_epidemic_3",43,1,-0.324455712497514,3.92573418648301
"chem_epidemic_3",44,1,-0.360617736861055,3.94788457010611
"chem_epidemic_3",45,1,-0.353082373201136,3.98024780367016
"chem_epidemic_3",46,1,-0.360162096287325,4.0087923749556
"chem_epidemic_3",47,1,-0.370143696433236,4.03791033699632
"chem_epidemic_3",48,1,-0.398225865494423,4.08022136756983
"chem_epidemic_3",49,1,-0.412259994093979,4.08960178569391
"chem_epidemic_3",50,1,-0.407225619494263,4.12132088549876
"chem_epidemic_3",51,1,-0.451844387343892,4.15904244216324
"chem_epidemic_3",52,1,-0.45259275786432,4.18549102206294
"chem_epidemic_3",53,1,-0.456707490711531,4.21386643446904
"chem_epidemic_3",54,1,-0.490515862383693,4.22397938726568
"chem_epidemic_3",55,1,-0.484596274428959,4.27699646586283
"chem_epidemic_3",56,1,-0.481666809331581,4.28473510954521
"chem_epidemic_3",57,1,-0.513537471687328,4.32971350747754
"chem_epidemic_3",58,1,-0.529331389082339,4.32439476504942
"chem_epidemic_3",59,1,-0.534846330472807,4.3648557903234
"chem_epidemic_3",60,1,-0.555433428408386,4.40377202583897
"chem_endemic_3",1,100,0.0010086158131873,4.6018329827596
"chem_endemic_3",2,100,-0.0107219525641569,4.63606642613065
"chem_endemic_3",3,100,-0.0329518379557953,4.670017938593
"chem_endemic_3",4,100,-0.0579082942704384,4.70240895002214
"chem_endemic_3",5,100,-0.0724254283911751,4.74035134535095
"chem_endemic_3",6,100,-0.0782412915180867,4.77878125684887
"chem_endemic_3",7,100,-0.0773878469525734,4.78545714882188
"chem_endemic_3",8,100,-0.117984352729839,4.83746377799125
"chem_endemic_3",9,100,-0.130300639302876,4.87719499827538
"chem_endemic_3",10,100,-0.131006878348084,4.9144954943593
"chem_endemic_3",11,100,-0.133554601043595,4.93626748104135
"chem_endemic_3",12,100,-0.159662103848066,4.95982465528951
"chem_endemic_3",13,100,-0.15468563705957,4.9638677783167
"chem_endemic_3",14,100,-0.173245114370084,5.00388200731473
"chem_endemic_3",15,100,-0.191310027357955,5.03502652234533
"chem_endemic_3",16,100,-0.194439378535115,5.0741226514237
"chem_endemic_3",17,100,-0.211767303527647,5.09446338847383
"chem_endemic_3",18,100,-0.233132907283147,5.11125984806141
"chem_endemic_3",19,100,-0.239384347643897,5.16891147892321
"chem_endemic_3",20,100,-0.248241667963089,5.18929723506281
"chem_endemic_3",21,100,-0.264174660553492,5.21057000473587
"chem_endemic_3",22,100,-0.287337697727011,5.24828605840995
"chem_endemic_3",23,100,-0.285225104276255,5.25052406479668
"chem_endemic_3",24,100,-0.295266742550796,5.29822506084077
"chem_endemic_3",25,100,-0.317051803409705,5.3139916305029
"chem_endemic_3",26,100,-0.331391429345472,5.35356156900074
"chem_endemic_3",27,100,-0.346606153063911,5.37351932168723
"chem_endemic_3",28,100,-0.337252685216712,5.40776123814116
"chem_endemic_3",29,100,-0.369120160187682,5.44199214434626
"chem_endemic_3",30,100,-0.386482272751801,5.45581703033144
"chem_endemic_3",31,100,-0.422994086768632,5.49292926997794
"chem_endemic_3",32,100,-0.426582875706311,5.49778185214392
"chem_endemic_3",33,100,-0.424721525622869,5.52926616683605
"chem_endemic_3",34,100,-0.434896187746198,5.57839446598355
"chem_endemic_3",35,100,-0.447204349526501,5.59360084846139
"chem_endemic_3",36,100,-0.454771575476178,5.59583456070635
"chem_endemic_3",37,100,-0.477941371280068,5.62915190810112
"chem_endemic_3",38,100,-0.476866808993151,5.6671261684166
"chem_endemic_3",39,100,-0.511240363690431,5.7040401953526
"chem_endemic_3",40,100,-0.527121803727949,5.72051923898568
"chem_endemic_3",41,100,-0.54033908851546,5.75384338117391
"chem_endemic_3",42,100,-0.533637793349891,5.78316327375806
"chem_endemic_3",43,100,-0.554901195859897,5.81616427137794
"chem_endemic_3",44,100,-0.559184755102063,5.82580369136456
"chem_endemic_3",45,100,-0.582770650204794,5.8504233095196
"chem_endemic_3",46,100,-0.599022880922735,5.85902066666817
"chem_endemic_3",47,100,-0.609797589984526,5.90306703648677
"chem_endemic_3",48,100,-0.637650075140169,5.92178728849663
"chem_endemic_3",49,100,-0.643829648150217,5.94310952799571
"chem_endemic_3",50,100,-0.659563184044578,5.97630669896685
"chem_endemic_3",51,100,-0.647608717445217,6.01342412832348
"chem_endemic_3",52,100,-0.677134111142417,6.00842943887431
"chem_endemic_3",53,100,-0.676274855951895,6.04908014284289
"chem_endemic_3",54,100,-0.682012973392933,6.079429597324
"chem_endemic_3",55,100,-0.712103839394048,6.09415620561922
"chem_endemic_3",56,100,-0.720355307179018,6.13116762619111
"chem_endemic_3",57,100,-0.75371257531256,6.15659896000779
"chem_endemic_3",58,100,-0.757396206409573,6.17672660131843
"chem_endemic_3",59,100,-0.761654778819092,6.1768870102365
"chem_endemic_3",60,100,-0.772233292469996,6.25166681879981
"chem_epidemic_4",1,1,0.0188082133012,-4.57125127555039
"chem_epidemic_4",2,1,0.319976471077074,-4.31174054329485
"chem_epidemic_4",3,1,1.02057385212814,-3.43047367080041
"chem_epidemic_4",4,1,1.72031674903717,-1.97389497796662
"chem_epidemic_4",5,1,1.95915609029509,-0.466851032114953
"chem_epidemic_4",6,1,1.46794341805418,0.707011282920167
"chem_epidemic_4",7,1,0.604173062290515,1.59821688840138
"chem_epidemic_4",8,1,0.237785846355759,2.30332174099164
"chem_epidemic_4",9,1,0.152935450312688,2.71638091217937
"chem_epidemic_4",10,1,0.107207911151774,2.86791351031522
"chem_epidemic_4",11,1,0.0958651963229027,2.96173656454651
"chem_epidemic_4",12,1,0.0750733369846992,2.95429366750663
"chem_epidemic_4",13,1,0.0729178972218241,2.99303197311899
"chem_epidemic_4",14,1,0.0381240046629978,3.03363855088751
"chem_epidemic_4",15,1,0.0598422618835729,3.06017330996381
"chem_epidemic_4",16,1,0.0175124338784414,3.08041088884402
"chem_epidemic_4",17,1,-0.00415973275324986,3.10850829945472
"chem_epidemic_4",18,1,-0.0062208742448217,3.15256108843242
