"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
78,1473.11866179914,"Successful completion",0.00580066011602181,0.996156039494149,0.400000134760477,0.421362086818751,0.0383048652472278,0.085885807472104,4.99950670307976,0.609775560945781,1.99983692622826,0.53398632382537,0.834509508224774
79,1969.8984628448,"Successful completion",0.0199999939203201,0.995741057351417,0.400066292510941,0.540202771524031,0.105167029609743,0.0962513345523396,2.28737209734599,0.500694270553926,1.99999999847693,1.99999913117795,1.99999336437146
80,1672.00424567074,"Successful completion",0.0010000003053089,0.996077472112144,0.423175329229053,7.97923490318862e-07,0.00764325955702215,0.0342810917961366,4.99999999819265,3.99999999992603,1.9999999787402,0.581998270474963,1.24340808622961
81,2093.62031080834,"Stagnation in Nelder-Mead",0.0199648151206751,0.99344068544888,0.409093673030792,0.996762935188952,0.685521918516406,0.199993766053031,0.77700310078096,0.555550916021226,1.99956764425535,1.9973798643,1.57298738461908
82,1482.50886034248,"Successful completion",0.0199999999948569,0.995857391170804,0.417551546262621,0.519045695022633,0.115031287364362,0.0645727788104826,1.26343953900906,0.874376632576879,1.99946540128831,0.549669920520108,0.805251764528907
83,1463.84638332615,"Successful completion",0.02,0.995638747423346,0.4,0.532295356515014,0.118157146745374,0.091436676942644,5,0.597442743959141,1.53716113109378,0.551733227817054,0.817261149935993
84,1443.1648014438,"Successful completion",0.00438268710067669,0.995824968171518,0.418593686243231,0.380215704472606,0.0309645175237409,0.0837762452353077,4.99265810168214,0.619074696244139,1.49744184260715,0.529165767605636,0.833386483845629
85,1631.13353263434,"Successful completion",0.0129466396340736,0.992119858349401,0.400000680783401,0.754113654329014,0.715138012008383,0.19998820179613,0.735973452318267,0.741589319652959,1.89001302340256,0.590398360097083,1.17953758631176
86,1461.60504583646,"Successful completion",0.0199621140707535,0.995591012279882,0.418966529018458,0.534434806356723,0.112387425837921,0.103272506851333,3.86671538232479,0.500001133366017,1.5356212315814,0.551096694230456,0.813491205834612
87,1473.55901506737,"Successful completion",0.00497993002218975,0.995656784457981,0.4,0.405139392077876,0.0351687309036355,0.100513438189229,4.99999999995566,0.500000043855615,2,0.526637830576944,0.842490400002489
88,1463.84642829294,"Successful completion",0.02,0.995637944909188,0.4,0.532265472079515,0.118127687891093,0.0915077163186519,5,0.596677702218311,1.53689600019609,0.551918012964344,0.817529002152509
89,1602.79468427758,"Successful completion",0.0173120328781631,0.991372483203534,0.404069286167308,0.840619621036901,0.826113114536031,0.137780032366749,0.734269555308337,3.99904335601701,1.62402029208439,0.590886908546496,1.08709711054003
90,1695.82125168657,"Successful completion",0.02,0.99260018444891,0.4,0.820547188059013,0.802729620874113,0.122082994725447,0.734380564782256,4,1.99999999999999,0.589051621870318,2
91,1459.05872959251,"Successful completion",0.019994666134986,0.995790268964987,0.418746869671092,0.523335338798593,0.113963547636892,0.0724439575905222,1.56731278325063,0.750806211850896,1.53817768800352,0.549562411311381,0.808284442422953
92,1442.54704565096,"Successful completion",0.00450896625296889,0.995708799621734,0.417013955636949,0.389947752913324,0.0317429576575758,0.0972401760121629,3.38427877121737,0.500002892962787,1.50976378295189,0.523054636670341,0.845967749109399
93,1446.61491747892,"Successful completion",0.00610714213936506,0.995737764925816,0.421316589710418,0.431823870135079,0.0373529337323071,0.0951079290082787,4.99070726788279,0.522329255065551,1.41308393156058,0.535356446267308,0.837163488151799
94,1487.27557512578,"Maximum number of evaluations exceeded",0.01999999865411,0.996053763747144,0.400041124261983,0.5142580929523,0.122507094285814,0.0538059834546609,0.766647786099469,1.12878215873799,1.99318098001496,0.545232050598235,0.81805427607365
95,1462.09992915457,"Successful completion",0.019994084809344,0.995571566693347,0.41884327252423,0.531996535384537,0.112789734912879,0.103546906771572,4.99999571161084,0.501440840356561,1.53490330630274,0.551625853170612,0.81442635474737
96,1638.15861323799,"Successful completion",0.0199997883760535,0.993276079019952,0.426917356585606,0.63833355716016,0.581814864005323,0.190150377792894,4.99993530551254,0.501532377368558,1.52977486775966,0.618050441098976,1.15445940632751
97,1460.80539875884,"Successful completion",0.0197933671453449,0.995608331519363,0.41932019133364,0.535091297615397,0.111369402920002,0.101722089084217,2.65598427452595,0.500061935410654,1.53675457311221,0.550452818289166,0.813140587622338
98,1448.31707451578,"Successful completion",0.00593345156835283,0.995356471353881,0.400046420508353,0.432266395468367,0.0394277438830184,0.0991865934966177,3.41445324478912,0.500001484240787,1.59294831568608,0.498457196508558,0.818970531331659
99,1443.63763823183,"Successful completion",0.00489563375141361,0.99568679359363,0.416236920424151,0.395544087277033,0.0336501822726691,0.0961214106051496,4.98950201951672,0.517623631367493,1.4993235603727,0.526498891929141,0.840255101922588
100,1481.83277416929,"Successful completion",0.00100000017367353,0.995734621008828,0.4134175529235,0.289059165177528,0.0154793378241852,0.0790392842409849,5,0.690048995017223,1.99999998134105,0.52668820840766,0.85624563492537
101,1464.6870361077,"Successful completion",0.019999866549925,0.995803799477992,0.400005509280629,0.507264947942686,0.121195440249757,0.0892133036119274,4.99999999473628,0.62094172114826,1.51671498543533,0.551688714299651,0.814170729463995
102,1483.5100536334,"Successful completion",0.00100860798301377,0.995604488558903,0.41460244971508,0.297553215164321,0.0159625536201328,0.101831901605335,4.68195010532698,0.500004076358902,1.99997366811245,0.520879914064727,0.871163138063866
103,1512.43880496626,"Successful completion",0.0199823617032714,0.99570490874366,0.400000006429581,0.99999998964865,0.107616873098538,0.0974342574812621,2.03710200267845,0.501860186504932,1.52493501877261,0.546062099808055,0.980541783610453
104,1953.63646226994,"Successful completion",0.02,0.995740632240204,0.400071233317034,1,0.0948796145880635,0.0966005023431482,4.99999920361759,0.5,1.51573977817262,2,2
105,1605.91528937529,"Successful completion",0.00298501453919892,0.995810388079287,0.400000163246734,0.356672490881092,0.0269467397219322,0.08789824829982,2.88101970992887,0.546789644908504,1.99999999281104,0.51334870782732,2
106,1511.78077460204,"Successful completion",0.0198611588491479,0.995704771506499,0.409859791800839,0.999988871599874,0.104901752725603,0.0971573464430847,2.02001307933484,0.500000035138918,1.52401410202828,0.5446895459713,0.979965849339741
107,1464.54569769946,"Successful completion",0.0199099162147529,0.995588834870849,0.400575711098133,0.539395258451483,0.116720844242221,0.104610513412158,5,0.500000000000068,1.53473575786334,0.550914760238149,0.82171967896959
108,1472.30930584867,"Successful completion",0.00489713359721791,0.995744154124888,0.400222181217339,0.395392945554094,0.0346830668695962,0.0839899036898634,4.96939147474903,0.62669816930877,1.99997606839916,0.529746298741004,0.833811792678368
109,1458.55220468686,"Successful completion",0.00105549779169736,0.995718784629777,0.416101452946069,0.295702046252381,0.0163591438023713,0.0994366353303006,4.99999999999348,0.509215510250211,1.53501658077961,0.518626038206853,0.87621424791803
110,1685.94794334701,"Maximum number of evaluations exceeded",0.0199999999831127,0.950000321245758,0.400000032548837,0.872843149764105,0.861357384148685,0.166582716306328,0.734046950355441,3.9961282482548,1.99999999934149,0.592433682593053,1.08338016590593
111,1458.98303038797,"Successful completion",0.0199372584987548,0.995795076817391,0.418860372637202,0.522343399938354,0.113664711158138,0.0717874301151888,1.55110445655256,0.759027626426044,1.53860201269412,0.549538959924999,0.807915465072249
112,1659.65797559947,"Successful completion",0.0199293066426375,0.995952104035839,0.400843708874938,0.66433319034607,0.60476230905906,0.109801868270362,0.737026696396672,1.26224533534181,1.83645186461262,0.565873990852451,1.8818351314715
113,1511.67802868025,"Successful completion",0.0197140256034202,0.995698399696158,0.40883306937173,0.998500857270442,0.104401069181342,0.0971173525611327,2.01323721521144,0.500003985293122,1.52423509474608,0.544387549828037,0.98088580070268
114,1461.95626334972,"Successful completion",0.0199993956429528,0.995575065058208,0.418664822153661,0.531497423507699,0.112879324394324,0.102135150612203,4.99800474698436,0.510492983509151,1.53665863541278,0.551743378230983,0.813758209294282
115,1455.1304536102,"Successful completion",0.0085960768375693,0.995443157783126,0.404527033891083,0.44552942070915,0.0553499705273562,0.0964949591535022,2.21498636658211,0.500000518808074,1.38619154307909,0.537927820492334,0.803774784817857
116,1576.98561669412,"Successful completion",0.0035057636046622,0.99582194586965,0.408719069506874,0.370983556905739,0.0285799174801887,0.086060032851928,2.80359053467817,0.55411300569744,1.49586781581208,0.513697190950889,1.99992093442491
117,1487.31976817568,"Successful completion",0.0199999999976956,0.995608737740402,0.400002431668995,0.530304501473444,0.11890963412794,0.0918975836305976,4.99998664199839,0.60420084986129,2,0.551424268342973,0.81457473018007
118,1464.70471994877,"Maximum number of evaluations exceeded",0.00433121328534444,0.996006971330158,0.415776041276195,0.352004887734157,0.0300252872756519,0.0482220465653406,1.66292129104837,1.20565414751918,1.99988800610997,0.525261961622609,0.819865826336493
119,1459.00813315489,"Successful completion",0.0199574388138562,0.995788764779164,0.418844269553132,0.523201587926629,0.113703077584762,0.0726672625798056,1.5807930995659,0.748095516351933,1.53832022799063,0.549600691763686,0.808145595948553
