"id","Value","Convergence","alpha_w","alpha_m","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
5380,1571.65315916535,1,0.00766319136505559,0.0262497375008122,0.00131220804223746,0.997674262063368,0.51343041414442,0.245473841820207,0.0216854697574967,7.92929287003985e-08,0.0275533167681759,1.28349005313838,3.64425241075485,1.62019454475483,0.61435839305412,0.911412543249629
5381,1760.03873443223,2,0.00617763238385745,0.0213316191131294,0.00236506700116303,0.99608019222184,0.416015052603799,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.50774552314601,0.521891636670772,0.825449096520322
5382,1418.36347849591,1,0.00329841988937647,0.0205367104577338,0.00210814160263973,0.996004401916244,0.44644007997446,0.322639137420428,0.0115273461167799,9.99997100110471e-07,0.023755189027275,0.809637585137559,3.83985081775788,1.07458027082899,0.662041851751084,0.890674960147939
5383,1448.70806661975,0,0.000831009561475625,0.00310545319992633,0.0176802795684584,0.987286342002762,0.408537421614909,0.386380139009315,0.0909591583093884,9.98348189333288e-07,0.0292766711783147,0.748662552891464,3.00172537456525,1.35959088689567,0.639755835492796,0.74614149443055
5384,1490.41756110575,0,0.00346910185473407,0.0147239010970387,0.00242099000734087,0.997712582213159,0.453044805609608,0.329328449256405,0.0225560958304272,9.99456227194087e-07,0.0480890201955823,2.6788349031315,1.5003614185816,1.55723816871755,0.567846103591076,0.843792641726798
5385,1506.05587911525,0,0.0027213064308653,0.0104221615508037,0.00301693942679958,0.998006033803137,0.400000000163301,0.250615443608804,0.026995697251034,9.99999840713037e-07,0.0288634525440869,0.774873411861289,3.05409236561453,1.30818939712266,0.680299491763333,0.895206971309164
5386,1472.06799801332,0,4.38360562552245e-05,0.000169482367954723,0.00317160930223983,0.99647320959162,0.400000000018003,0.224314662299199,0.021506111000809,9.99993063224316e-07,0.0531810571962805,4.9993760222777,1.71996293218184,1.19253871108743,0.618093679549217,1.00790436935981
5387,1400.04154377765,0,0.00299411057205842,0.0140466575425932,0.00277129140795337,0.996163861799435,0.402843316927569,0.308962449720706,0.0194852364738259,9.98938438973058e-07,0.0374253438634238,2.30319814273604,2.02709229899944,1.49573001891945,0.517605149355797,0.750265245963419
5388,1636.3064718195,0,0.00354750257450841,0.0140610682551485,0.00495311408264459,0.996894310720223,0.447210562287829,0.28799678204536,0.0391429360632262,9.38297823553698e-07,0.0279279689912422,0.771570265108683,3.22930319045928,1.39274793639568,0.83938336780558,0.924564484967977
5389,1682.89127930057,0,0.00417037270777729,0.0173714789755875,0.00109868593633216,0.998532850761565,0.522104862375642,0.25103399649231,0.0141771928856392,9.99620389396354e-07,0.0283009657967877,0.794782708199746,2.64478664987685,1.99331048524569,0.730283740880102,0.766947617509299
5390,1471.98398285525,0,0.000945618107277491,0.00554880471827993,0.00248740232855417,0.996076558328618,0.400002533408502,0.229974499785291,0.0202072887961863,9.99997757342222e-07,0.0655813772349704,4.9828551399351,1.01449543427269,1.41551383271917,0.593343038060411,0.849540961749033
5391,1489.79567398236,0,0.00152533968468214,0.00850683520012316,0.001849944601356,0.995862313219936,0.404656127043133,0.278231446079126,0.0202458604427033,9.9993952958507e-07,0.0602874944322257,4.23487217016076,1.11942409428747,1.33536374185132,0.602380225518724,0.956471712538915
5392,1405.0532165491,0,0.000922678932612896,0.00554717643520901,0.0108659351166696,0.995598001019766,0.401835562264042,0.410753263982997,0.0651851495779444,9.99976838139215e-07,0.0514455508979367,4.74190408021888,1.47766174541983,1.2218789902245,0.576557132845802,0.859738235129405
5393,1e+10,0,-0.000270249401644891,-0.00208218568711286,0.00424060899069414,0.99608019222184,0.416015052603799,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.50774552314601,0.521891636670772,0.825449096520322
