"chemostat","time","prev0","wildtype","cI857","coinf","suscept","cI857col","prevalence","g","logit_g","logit_prev"
"chem4",14,100,34474,15002,379,145,"YFP",0.997077850103787,0.303217721723664,-0.832021891184755,5.83250924007432
"chem4",15,100,34973,14488,375,164,"YFP",0.996695214105793,0.292917652291705,-0.881255614632738,5.70907333140508
"chem4",16,100,33481,15919,447,153,"YFP",0.996912396827639,0.322246963562753,-0.743464749380474,5.77726778178358
"chem4",17,100,32895,16646,379,80,"YFP",0.998387779367606,0.336004521507438,-0.681150723214058,6.42852925387427
"chem4",18,100,34479,14983,482,56,"YFP",0.998869098105739,0.302919412882617,-0.833434217993724,6.78360828623925
"chem4",19,100,31267,18112,545,76,"YFP",0.998463249418663,0.366795601369003,-0.545988526247279,6.47654717129394
"chem4",20,100,33923,15479,574,24,"YFP",0.999514425605956,0.313327395651998,-0.784608983817302,7.6296923578385
"chem4",21,100,32746,15971,1032,251,"YFP",0.99487420356151,0.327832173573906,-0.718006239543128,5.26833038500142
"chem4",22,100,33089,14382,2243,286,"YFP",0.994011349121595,0.302963914811148,-0.83322347618611,5.11188246644001
"chem4",24,100,29851,17736,2145,268,"YFP",0.994399749242503,0.372706831697733,-0.520621867800981,5.17932791316384
"chem4",25,100,37725,10948,424,903,"YFP",0.981785541390996,0.224929632445093,-1.23716621347548,3.98715718712459
"chem4",26,100,36432,12100,525,943,"YFP",0.980939868620515,0.249320036264733,-1.10224205671869,3.94091237053831
"chem4",27,100,37396,10441,755,1408,"YFP",0.971408264798457,0.218262014758451,-1.2758233835211,3.52562914091013
"chem4",28,100,37347,10356,609,1688,"YFP",0.965823733068778,0.217093264574555,-1.28268652517847,3.3414498928246
"chem4",29,100,37517,10816,432,1235,"YFP",0.975084732085216,0.22378085366106,-1.24376764428458,3.66704358709702
"chem4",30,100,37140,11679,414,767,"YFP",0.984531924333481,0.239230627419652,-1.15690219862813,4.15338805896147
"chem4",31,100,37447,10693,507,1353,"YFP",0.972662800800113,0.22212297465725,-1.25333727817091,3.57178908316627
"chem4",32,100,36252,12576,344,828,"YFP",0.983325277912035,0.257557139346277,-1.05870431650568,4.07704604340443
"chem4",33,100,38415,10165,362,1058,"YFP",0.978685684354728,0.209242486620008,-1.32949756123929,3.82683159013792
"chem4",34,100,38967,9202,253,1578,"YFP",0.968279494240859,0.19103572837302,-1.44329428235998,3.41855743819395
"chem4",35,100,37365,10241,435,1959,"YFP",0.960476142439221,0.215119942864345,-1.29433516628895,3.19052466475145
"chem4",36,100,40016,8282,297,1405,"YFP",0.971732088606322,0.171477079796265,-1.57519488901189,3.53735284914799
"chem4",37,100,35442,13559,641,358,"YFP",0.992747016754796,0.276708638599212,-0.960847024072981,4.91906299864708
"chem4",38,100,38749,10322,455,474,"YFP",0.990432939751741,0.210348270872817,-1.32282740928822,4.63981618623156
"chem4",39,100,40244,8212,379,1165,"YFP",0.976522037040769,0.169473336635298,-1.58936442527312,3.72793508266098
"chem4",40,100,39368,9339,352,941,"YFP",0.981046567837576,0.191738353830045,-1.4387541234361,3.94663489632243
"chem4",41,100,39401,8774,354,1471,"YFP",0.970370221165854,0.182127659574468,-1.50199839394844,3.48889777268113
"chem4",42,100,39302,9441,469,788,"YFP",0.98409077143607,0.193689350265679,-1.4262135014152,4.12481878651453
"chem4",43,100,38655,9771,444,1130,"YFP",0.977197513923642,0.201771775492504,-1.37525731781023,3.75781922684604
"chem4",44,100,39800,8822,367,1011,"YFP",0.979630487780307,0.181440500185101,-1.50661831060764,3.87313616333886
"chem4",45,100,36978,11813,598,611,"YFP",0.987632079672888,0.2421143243631,-1.14112252124178,4.38020418943152
"chem4",46,100,37620,10953,551,876,"YFP",0.982284778256385,0.225495645729109,-1.23392243253127,4.01545700901847
"chem4",47,100,31536,16421,1818,225,"YFP",0.995330206301108,0.342410909773339,-0.652568746900664,5.36195965285378
"chem4",48,100,39158,9559,421,862,"YFP",0.982613606567297,0.196214873658066,-1.41012162475346,4.03452805346951
"chem5",1,100,25943,23397,281,379,"CFP",0.992377159637161,0.47419943250912,-0.103294014688177,4.86895418500093
"chem5",2,100,26623,22676,69,632,"CFP",0.987342532695119,0.459968762043855,-0.160468407375189,4.35676968170254
"chem5",3,100,27703,22055,123,119,"CFP",0.997614130761674,0.44324530728727,-0.228001377021114,6.03580304056773
"chem5",4,100,28485,21260,178,77,"CFP",0.998454498012926,0.427379636144336,-0.292550260018557,6.47085981316974
"chem5",5,100,29761,19787,338,114,"CFP",0.99770448230035,0.399350125131186,-0.408173655140586,6.07449872727959
"chem5",6,100,28776,20894,287,43,"CFP",0.999135035101482,0.420656331789813,-0.320079669978007,7.05195629240782
"chem5",7,100,30897,18562,538,3,"CFP",0.999939347377785,0.375300754160011,-0.509542611638573,9.71028703384525
"chem5",8,100,30766,18651,568,15,"CFP",0.999696552840265,0.37742072566121,-0.500510420178249,8.09999957242933
"chem5",9,100,31652,17506,839,3,"CFP",0.999938976017575,0.35611701045608,-0.5922576584367,9.70418259070108
"chem5",10,100,31671,17427,895,7,"CFP",0.999857448325018,0.35494317487474,-0.597380707997162,8.8556634306998
"chem5",11,100,31748,17364,881,7,"CFP",0.999857488955394,0.35355921159798,-0.603430633791282,8.85594853405212
"chem5",12,100,31494,17543,958,5,"CFP",0.999898046572326,0.357750270204132,-0.58514204155117,9.19089248175303
"chem5",13,100,32407,16298,1224,71,"CFP",0.99854436608168,0.334626835027205,-0.687332047947665,6.53085709616374
"chem5",14,100,34326,13706,1950,18,"CFP",0.999625390218522,0.285351432378414,-0.918069391350815,7.88925097653702
"chem5",15,100,32542,15952,1498,8,"CFP",0.999835058348109,0.328947911081783,-0.712947349497645,8.70975381625276
"chem5",16,100,34650,12810,2522,18,"CFP",0.999620877037786,0.269911504424779,-0.995071609727269,7.87727077209354
"chem5",17,100,30651,18061,1262,26,"CFP",0.999466535352292,0.370771062571851,-0.52891037083587,7.53558414726683
"chem5",18,100,34634,12303,3033,30,"CFP",0.999361253646177,0.262117306176364,-1.03499272345193,7.35536417432424
"chem5",19,100,32449,14938,2390,223,"CFP",0.995316110060912,0.315234135944457,-0.775761324099396,5.35893143700308
"chem5",20,100,31318,16976,1694,12,"CFP",0.999751583654204,0.351513645587444,-0.612392430251624,8.30015595853387
"chem5",21,100,32385,14827,2555,233,"CFP",0.995089050479503,0.314051512327374,-0.781245509598991,5.31136492298326
"chem5",22,100,30303,18067,1619,11,"CFP",0.999772638019057,0.373516642547033,-0.517159647723367,8.38873979301847
"chem5",23,100,31105,16405,2343,147,"CFP",0.996915458379671,0.345295727215323,-0.639782411553918,5.77826290740224
"chem5",24,100,30027,17168,2675,130,"CFP",0.997253037506603,0.363767348236042,-0.559049791016649,5.89450878330348
"chem5",25,100,25184,24235,554,27,"CFP",0.999453949763378,0.490398429753738,-0.0384110029376533,7.51225337861071
"chem5",26,100,26118,23181,688,13,"CFP",0.999736372485399,0.470212377533013,-0.119291754178659,8.24070971838766
"chem5",27,100,26378,23032,559,31,"CFP",0.999372990028519,0.466140457397288,-0.135645776093818,7.3739209073547
"chem5",28,100,31765,15285,2526,424,"CFP",0.991068795551249,0.324867162592986,-0.731493099375699,4.70923268978157
"chem5",29,100,27287,22002,684,27,"CFP",0.999452510341471,0.446387632128873,-0.215277039982789,7.50961934539837
"chem5",30,100,29434,19010,1478,78,"CFP",0.998392481760851,0.392411856989514,-0.437185312241583,6.43145494395133
"chem5",31,100,27759,21381,848,12,"CFP",0.999755859375,0.435103785103785,-0.261057434747159,8.31752199628717
"chem5",32,100,28730,19995,1254,21,"CFP",0.999569195421163,0.410364289379169,-0.362459630692416,7.74942508665228
"chem5",33,100,27665,21438,868,29,"CFP",0.999409753317593,0.436592468891921,-0.255003028080745,7.43437958172593
"chem5",34,100,27974,21097,907,22,"CFP",0.99955187093883,0.429928063418312,-0.282144657078426,7.70998105456826
